20,OPEN,FAQ: What equipment..,,2024-07-22T11:30:12Z
19,OPEN,FAQ: What sort of tyres do I need ?,,2024-07-22T11:29:29Z
18,OPEN,FAQ; What sort of bike do I need to enjoy these rides ?,,2024-07-22T11:29:02Z
17,OPEN,FAQ: What else should….,,2024-07-22T11:27:07Z
16,OPEN,New FAQs: I don't have a suitable bike, how can I give this a go?,,2024-07-22T11:26:10Z
15,OPEN,Contact Us: Text Change,,2024-07-22T11:25:21Z
14,OPEN,About Us: Text modification,,2024-07-22T11:23:14Z
13,OPEN,Hero Section Title: Include Fleet with Brand Color,,2024-07-22T11:21:10Z
12,OPEN,Our Supporters:,,2024-07-22T11:17:19Z
11,OPEN,Hero Section ride descriptions clarity,,2024-07-22T11:22:14Z
10,OPEN,Hero Section Text Size too small,,2024-07-22T11:12:17Z
9,OPEN,Hero Image taking too long to load....,,2024-07-22T11:11:06Z
8,OPEN,Increase Padding Top,,2024-07-22T11:09:51Z
7,OPEN,Uppercase: Come join Us -> Come Join Us,,2024-07-22T11:08:12Z
6,OPEN,FAQ: Recommended Items to be a bulleted list for clarity,,2024-07-22T11:06:42Z
5,OPEN,Typos: Lets -> Let's and recomendations -> recommendations,,2024-07-22T11:05:20Z
4,OPEN,Incorrect use of Upper Case: Interested, Want to Find Out more...,,2024-07-22T11:00:25Z
3,OPEN,Type: WhatsAspp,,2024-07-22T10:58:35Z
2,OPEN,A Bell is recommended,,2024-07-22T10:56:46Z
1,OPEN,Typo: e-bike -> E-bike,,2024-07-22T10:54:32Z
